FullName,Age,Height,Weight,Overall,Potential,Growth,TotalStats,BaseStats,BestPosition,Club,IntReputation,WeakFoot,SkillMoves,AttackingWorkRate,DefensiveWorkRate,PaceTotal,ShootingTotal,PassingTotal,DribblingTotal,DefendingTotal,PhysicalityTotal,Crossing,Finishing,HeadingAccuracy,ShortPassing,Volleys,Dribbling,Curve,FKAccuracy,LongPassing,BallControl,Acceleration,SprintSpeed,Agility,Reactions,Balance,ShotPower,Jumping,Stamina,Strength,LongShots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Marking,StandingTackle,SlidingTackle,GKDiving,GKHandling,GKKicking,GKPositioning,GKReflexes,STRating,LWRating,LFRating,CFRating,RFRating,RWRating,CAMRating,LMRating,CMRating,RMRating,LWBRating,CDMRating,RWBRating,LBRating,CBRating,RBRating,GKRating,Top_5_league
Marlon Ritter,27,173,72,67,67,0,1928,410,0,1. FC Kaiserslautern,1,4,3,2,0,77,67,66,75,58,67,64,65,46,66,65,73,71,67,65,75,80,75,85,66,84,75,70,70,66,67,65,60,65,67,47,64,55,60,65,7,12,8,7,15,67,67,67,67,67,67,67,67,67,67,67,66,67,67,63,67,18,0
David Miculescu,21,189,83,67,76,9,1637,362,13,FCSB (Steaua),1,3,3,2,2,71,62,60,69,35,65,60,65,65,65,43,71,55,43,54,69,70,72,70,64,56,60,71,64,77,67,37,26,64,62,45,61,23,41,39,7,6,14,6,6,68,67,66,66,66,67,68,68,63,68,55,52,55,53,49,53,15,0
Samuel Eduok,28,176,76,67,67,0,1745,373,11,Hajduk Split,1,3,3,2,1,80,66,62,68,30,67,65,64,58,65,65,67,60,52,60,67,74,84,77,62,78,72,60,67,71,68,57,18,63,58,61,52,31,26,35,14,6,12,13,15,67,67,66,66,66,67,67,67,61,67,54,50,54,52,46,52,20,0
Pape Ndiaga Yade,22,185,76,67,74,7,1741,383,13,ESTAC Troyes,1,3,3,2,2,82,68,59,68,40,66,65,66,59,59,63,71,67,50,48,70,84,80,69,53,58,74,55,56,76,68,54,35,63,59,64,61,41,35,39,13,9,14,13,11,69,67,66,66,66,67,67,67,60,67,56,52,56,55,51,55,18,1
Alejandro Millán Iranzo,22,182,74,67,74,7,1620,349,13,Futebol Clube de Famalicão,1,3,3,0,1,69,69,53,64,35,59,50,72,66,63,59,67,46,50,39,63,69,69,65,59,63,69,68,64,66,65,33,32,69,49,59,56,33,31,31,13,14,9,9,6,69,64,65,65,65,64,64,64,58,64,52,48,52,50,47,50,18,0
Salvador Ferrer Canals,24,184,73,67,73,6,1671,356,12,Spezia,1,3,2,0,0,69,34,57,60,65,71,70,25,63,59,38,58,57,35,52,59,71,68,66,61,66,48,67,70,72,33,70,65,50,51,48,56,66,62,69,7,10,11,13,11,53,56,53,53,53,56,56,60,58,60,67,64,67,67,67,67,18,1
Denis Drăguș,22,185,80,67,73,6,1649,357,13,Standard de Liège,1,2,3,2,1,80,65,53,69,19,71,53,69,66,59,67,70,63,37,40,66,78,81,78,62,73,59,76,72,71,62,68,12,64,53,59,68,16,10,19,7,12,9,11,7,69,66,65,65,65,66,65,66,56,66,48,43,48,45,40,45,17,0
Aaron Opoku,23,185,71,67,75,8,1722,379,10,1. FC Kaiserslautern,1,4,4,0,2,87,55,66,71,39,61,65,52,48,67,46,73,78,67,55,68,86,88,81,59,69,64,60,71,57,55,57,34,56,68,48,61,35,43,38,6,5,8,7,8,63,67,65,65,65,67,68,70,63,70,60,55,60,57,50,57,14,0
Pierre-Yves Ngawa,30,187,75,67,67,0,1651,365,1,Oud-Heverlee Leuven,1,3,2,2,2,74,41,50,62,67,71,56,33,64,57,32,59,39,32,52,62,69,78,74,62,60,56,77,68,73,45,69,65,38,39,41,60,66,70,66,7,14,11,8,9,55,55,53,53,53,55,55,58,57,58,66,64,66,67,67,67,17,0
Simón Moreno Barroso,24,174,73,67,72,5,1608,346,13,CD Mirandés,1,3,3,0,2,74,68,54,65,28,57,43,69,67,64,60,67,42,47,50,64,73,74,57,67,70,69,67,62,60,65,40,25,65,56,68,59,14,35,15,14,8,10,11,10,69,64,66,66,66,64,66,65,60,65,49,47,49,47,43,47,19,0
Mark Harris,23,182,75,67,72,5,1759,383,10,Cardiff City,1,4,2,0,0,83,63,60,69,40,68,55,67,61,64,60,68,49,45,57,67,84,82,79,69,73,61,75,74,69,56,54,24,69,65,52,65,40,42,48,8,9,13,8,12,69,68,68,68,68,68,69,70,64,70,59,55,59,57,53,57,18,0
Aimar Oroz Huarte,20,177,73,66,79,13,1733,371,0,CA Osasuna,1,3,3,2,0,67,64,68,65,52,55,61,63,44,73,45,64,61,59,71,65,74,62,69,61,68,69,56,66,51,66,53,55,62,67,58,65,52,56,38,6,6,13,6,13,64,65,65,65,65,65,68,68,68,68,61,62,61,59,55,59,16,1
Juan Cruz,22,184,71,66,74,8,1554,331,13,Club Atlético Banfield,1,3,2,2,2,64,68,47,60,28,64,29,72,69,57,64,61,37,48,51,62,62,65,54,59,63,66,71,55,73,61,53,19,66,45,66,57,20,29,25,14,10,9,8,11,68,58,62,62,62,58,61,59,55,59,44,45,44,43,44,43,18,0
Nicolás Morgantini,27,175,70,66,66,0,1758,381,9,Platense,1,2,2,0,2,77,50,61,66,61,66,59,43,55,68,51,65,47,43,55,65,76,77,75,60,72,67,72,74,60,49,69,61,60,61,45,60,62,62,60,8,9,8,9,11,61,63,62,62,62,63,64,66,64,66,66,65,66,66,64,66,17,0
Juan José Cáceres,22,173,62,66,74,8,1727,370,9,Racing Club,1,3,2,2,2,79,45,57,63,60,66,58,38,66,64,49,61,49,44,57,63,79,79,75,56,78,59,77,77,63,44,59,58,54,47,48,50,53,64,62,8,7,12,10,9,59,59,58,58,58,59,60,63,60,63,66,63,66,66,63,66,16,0
Enrique López Fernández,28,185,81,66,66,0,1683,362,5,Melbourne Victory,1,3,2,0,0,69,38,63,62,62,68,64,35,46,67,33,60,46,41,66,62,69,69,74,60,57,40,71,70,67,35,67,64,63,60,46,61,63,65,64,5,14,14,13,13,55,60,57,57,57,60,62,64,64,64,66,66,66,66,65,66,19,0
Dong Hyun Kim,25,182,72,66,71,5,1710,374,4,Gangwon FC,1,3,3,2,2,66,49,60,65,57,77,48,44,40,69,35,62,44,46,64,68,66,66,70,64,71,52,64,86,78,57,68,68,57,60,46,60,58,56,52,7,11,12,13,8,58,61,60,60,60,61,65,64,67,64,65,67,65,64,63,64,18,0
Ebou Adams,26,178,76,66,68,2,1903,406,1,Cardiff City,1,3,2,0,0,72,59,61,67,65,82,53,60,65,65,49,65,53,52,63,66,75,69,75,65,71,61,89,91,74,56,90,65,63,65,55,63,64,67,66,7,15,14,7,8,66,64,64,64,64,64,67,68,68,68,68,68,68,68,68,68,18,0
Robert Herrera,33,185,85,66,66,0,1458,311,1,Club Atlético River Plate,1,3,2,2,2,40,38,49,51,68,65,36,35,59,66,37,47,40,37,43,57,50,32,46,63,31,43,68,49,72,39,68,70,42,44,39,59,71,68,65,9,8,5,8,11,50,47,49,49,49,47,52,50,55,50,59,64,59,61,66,61,17,0
Bryan Reynolds,21,188,75,66,75,9,1656,362,9,KVC Westerlo,1,3,2,2,2,70,47,59,60,62,64,68,47,58,62,39,60,47,24,51,60,69,70,64,67,53,49,72,72,63,42,52,62,50,62,54,53,62,65,56,14,13,9,7,13,58,60,58,58,58,60,61,63,61,63,66,63,66,66,64,66,20,0
Jake Doyle-Hayes,23,175,68,66,70,4,1824,389,4,Hibernian,1,3,2,1,2,71,58,65,66,63,66,61,58,59,69,57,63,63,54,66,68,70,72,73,63,75,61,59,76,60,59,68,63,59,64,50,65,62,66,65,8,10,6,10,7,64,64,64,64,64,64,67,67,68,67,68,68,68,68,66,68,17,0
Luciano Nieto,31,175,80,66,66,0,1682,355,0,Sport Boys,1,3,3,2,2,72,63,62,69,31,58,57,60,46,62,46,72,59,70,61,64,73,71,75,63,67,65,59,68,56,70,48,33,65,66,70,63,33,24,23,7,11,13,12,13,64,66,65,65,65,66,66,66,63,66,53,51,53,49,43,49,19,0
Phillipp Steinhart,29,181,73,66,66,0,1846,385,5,TSV 1860 München,1,3,2,0,2,73,55,65,61,59,72,68,49,57,65,51,57,73,72,64,63,74,72,71,50,71,66,73,81,72,57,62,61,53,59,68,60,53,63,61,10,14,9,15,12,60,61,59,59,59,61,62,64,63,64,66,64,66,66,63,66,19,0
Rodrigo Cabral,21,170,64,66,77,11,1608,342,10,Club Atlético Huracán,1,3,3,2,1,75,58,59,72,29,49,64,58,42,58,55,73,62,45,48,71,77,74,77,64,83,66,52,58,47,50,40,19,59,65,55,48,21,35,46,9,6,7,8,14,63,66,65,65,65,66,66,67,60,67,54,48,54,52,42,52,17,0
Gustav Henriksson,24,188,80,66,71,5,1581,342,1,IF Elfsborg,1,2,2,1,2,64,39,56,50,65,68,58,32,67,67,44,43,34,28,64,57,64,64,45,62,61,46,82,50,76,50,68,66,34,39,37,63,63,65,63,11,12,8,11,10,52,51,49,49,49,51,53,55,57,55,63,65,63,64,68,64,18,0
Daniel Polanco,23,177,75,66,74,8,1399,303,1,La Equidad,1,3,2,2,0,55,26,46,42,67,67,29,25,68,69,24,22,22,22,52,59,55,55,48,64,65,35,74,65,70,16,60,64,25,29,35,63,66,70,65,9,9,6,10,12,45,41,41,41,41,41,45,46,52,46,60,65,60,63,68,63,18,0
Tom Eaves,30,191,93,66,66,0,1584,343,13,Rotherham United,1,4,2,0,0,53,66,47,60,37,80,33,65,73,55,63,60,40,38,41,64,52,54,58,63,34,74,69,69,91,60,67,24,66,53,65,61,31,42,31,14,14,9,6,6,66,58,61,61,61,58,61,58,57,58,48,51,48,47,52,47,18,0
Paulo Henrique Rodrigues Cabral,25,180,76,66,68,2,1701,369,5,Santa Clara,1,2,2,2,2,72,49,57,60,62,69,67,40,47,56,40,61,63,60,49,60,71,72,61,59,60,66,60,71,73,52,60,63,51,53,53,58,64,65,63,12,7,8,7,7,57,58,57,57,57,58,58,61,59,61,66,63,66,66,64,66,16,0
Gastón Benavídez,26,175,71,66,68,2,1559,338,9,Club Atlético Talleres,1,3,2,2,2,65,36,55,59,64,59,66,36,44,60,30,60,50,31,56,58,66,64,58,55,66,33,50,68,55,31,58,62,59,41,44,49,67,68,69,10,14,14,7,9,51,56,53,53,53,56,56,60,58,60,66,63,66,66,63,66,17,0
Sessi D'Almeida,26,178,78,66,69,3,1864,408,2,Pau FC,1,2,3,2,0,78,55,60,67,63,85,44,54,61,71,47,64,45,37,64,69,80,77,77,63,75,63,80,91,81,52,88,62,63,63,50,66,67,62,61,7,12,8,12,14,66,64,65,65,65,64,68,68,68,68,68,69,68,68,69,68,19,0
Viljar Helland Vevatne,27,183,73,66,68,2,1750,380,1,Viking FK,1,3,2,2,2,66,57,55,61,65,76,54,56,63,62,31,59,58,42,61,61,65,66,63,65,71,67,71,80,79,60,67,66,55,40,51,65,65,65,64,8,9,10,7,9,63,59,59,59,59,59,60,62,62,62,66,66,66,67,68,67,17,0
Jesús Meza,36,163,66,66,66,0,1808,377,0,Estudiantes de Mérida,1,3,3,0,2,78,66,62,68,55,48,45,63,39,70,57,67,69,70,68,66,80,77,78,60,87,70,58,78,38,71,35,65,60,59,65,62,55,60,40,10,14,11,12,11,64,65,65,65,65,65,66,66,66,66,64,63,64,62,55,62,19,0
Martí Riverola Bataller,31,177,72,66,66,0,1617,348,0,FC Andorra,1,4,2,2,2,71,59,63,66,33,56,43,54,51,71,45,65,67,56,64,67,74,68,77,57,61,71,52,64,56,62,47,28,57,70,59,55,27,36,30,5,8,5,14,6,63,63,64,64,64,63,66,65,64,65,52,52,52,49,45,49,15,0
Marvin Martins,27,185,81,66,67,1,1708,376,9,FK Austria Wien,1,2,3,0,2,78,50,58,58,60,72,61,47,63,62,38,58,50,51,59,56,73,82,64,58,58,60,56,73,76,48,65,58,58,51,53,57,56,63,67,11,11,7,9,6,61,59,58,58,58,59,60,63,60,63,65,63,65,66,65,66,16,0
Djavan Anderson,27,175,68,66,66,0,1707,368,9,Oxford United,1,3,3,2,2,78,38,58,68,60,66,66,30,60,64,35,68,48,37,53,66,74,82,80,57,78,56,62,71,62,31,70,61,69,53,41,50,59,60,62,9,15,6,15,7,59,62,60,60,60,62,62,66,62,66,66,63,66,66,64,66,18,0
Ángel Gracia,33,168,70,66,66,0,1803,375,5,CS Emelec,1,3,2,0,1,69,51,63,55,61,76,68,39,57,60,37,46,50,72,54,59,68,69,80,54,58,74,85,89,79,55,51,64,67,69,56,52,59,63,60,15,15,16,8,7,60,58,58,58,58,58,61,62,63,62,66,64,66,66,64,66,18,0
Franco Quinteros,23,176,69,66,75,9,1606,348,5,Club Atlético Sarmiento,1,2,2,2,0,69,42,54,63,63,57,67,45,52,59,26,62,47,32,64,63,68,70,63,62,73,41,59,64,48,39,71,64,54,34,41,60,65,63,64,5,10,9,12,10,55,58,55,55,55,58,57,62,59,62,66,64,66,66,63,66,17,0
Estevão Danilo Rios Chiamulera,30,178,74,66,66,0,1590,323,0,Fluminense,1,3,3,2,1,44,57,73,65,27,57,74,54,49,73,49,63,63,68,72,71,42,45,58,52,70,49,66,49,66,73,44,23,64,78,44,62,12,33,35,10,9,12,8,12,60,63,62,62,62,63,66,65,66,65,50,51,50,46,42,46,17,0
Redouan El Yaakoubi,26,183,80,66,70,4,1696,368,1,Excelsior,1,3,2,2,0,67,55,56,54,65,71,48,46,63,66,30,49,59,59,70,59,68,66,48,63,61,72,65,73,71,71,68,65,31,34,44,55,65,67,65,6,9,13,11,11,58,53,54,54,54,53,55,57,60,57,65,67,65,66,68,66,17,0
Rosalino Toledo,32,175,75,66,66,0,1727,370,4,Guaireña FC,1,2,3,2,2,59,63,62,65,60,61,46,62,49,70,33,65,31,70,66,64,55,63,61,65,72,65,56,74,58,70,53,63,65,65,62,62,61,62,53,14,11,8,8,7,64,63,64,64,64,63,66,65,66,65,63,66,63,62,61,62,18,0
Thiago Eduardo de Andrade,21,180,68,66,75,9,1753,375,10,New York City FC,1,3,2,2,2,84,64,55,70,44,58,60,63,45,57,59,72,63,47,49,67,82,86,83,57,75,70,78,61,51,68,65,29,62,53,49,51,35,58,54,11,7,13,13,11,65,67,65,65,65,67,66,67,60,67,59,54,59,58,53,58,18,0
Edgaras Utkus,22,190,77,66,73,7,1566,343,1,KSV Cercle Brugge,1,3,2,2,0,59,35,56,55,67,71,44,31,70,65,28,56,39,42,67,58,55,62,52,49,50,46,70,63,77,32,66,68,37,52,47,53,69,66,60,8,12,9,7,9,52,50,50,50,50,50,54,55,59,55,62,66,62,63,68,63,15,0
Stefan Lex,32,178,74,66,66,0,1722,366,13,TSV 1860 München,1,4,3,0,1,81,64,59,69,29,64,58,66,57,61,61,68,65,49,57,66,84,79,77,67,80,68,71,70,66,58,48,28,67,60,57,66,26,22,29,14,12,13,7,11,66,66,66,66,66,66,66,66,61,66,54,50,54,51,44,51,19,0
Miguel Ángel Ríos,29,175,75,66,66,0,1791,386,10,Club Deportivo Oriente Petrolero,1,3,3,0,2,73,61,65,68,60,59,60,60,45,74,55,67,58,61,64,66,72,73,80,60,70,67,52,65,59,55,55,60,61,57,70,66,61,65,60,9,9,6,7,8,64,65,64,64,64,65,66,66,66,66,66,66,66,65,62,65,16,0
Nathan Harriel,21,180,79,66,75,9,1575,353,9,Philadelphia Union,1,3,2,2,2,78,32,51,55,64,73,61,29,60,58,29,54,40,30,56,55,77,78,61,60,60,38,70,75,74,28,69,61,38,35,38,46,66,66,61,11,9,6,8,14,51,53,49,49,49,53,52,58,55,58,66,63,66,66,66,66,18,0
Gaëtan Paquiez,28,182,72,66,66,0,1730,368,9,Grenoble Foot 38,1,3,2,2,2,69,45,59,61,63,71,61,34,55,65,47,60,53,43,59,61,68,70,68,60,68,61,65,77,73,48,62,62,54,52,53,58,64,65,64,15,12,7,8,16,57,58,57,57,57,58,60,62,62,62,66,65,66,66,66,66,20,0
Nicolás Zalazar,25,175,77,66,70,4,1482,324,1,Defensa y Justicia,1,3,2,1,2,67,36,37,45,66,73,26,29,67,54,25,30,29,31,38,58,69,65,61,58,53,50,71,67,79,38,68,65,35,22,40,56,66,68,64,14,6,9,13,14,50,44,45,45,45,44,46,47,49,47,59,61,59,62,68,62,19,0
Juan Ignacio Díaz,24,182,76,66,73,7,1585,345,1,Barracas Central,1,3,2,2,2,73,41,48,51,68,64,50,39,67,60,35,45,32,31,35,48,76,71,71,60,74,47,73,67,63,38,58,60,45,44,41,54,68,73,70,12,7,10,10,5,54,52,51,51,51,52,52,54,53,54,64,61,64,66,67,66,16,0
Sean McLoughlin,25,191,89,66,70,4,1486,326,1,Hull City,1,3,2,2,2,52,31,50,55,66,72,50,29,61,60,26,55,29,32,55,59,49,55,43,63,50,41,70,68,77,21,64,64,44,39,41,60,66,68,65,8,7,6,14,7,51,49,49,49,49,49,52,55,56,55,63,64,63,64,68,64,17,0
Denis Linsmayer,30,181,78,66,66,0,1725,358,2,FC Ingolstadt 04,1,3,2,2,2,48,50,61,63,63,73,52,45,62,68,32,62,51,47,65,63,52,44,62,64,64,51,80,80,74,65,60,64,47,62,48,66,61,65,64,14,15,14,14,14,57,57,57,57,57,57,62,61,66,61,65,66,65,64,66,64,22,0
Edder Farías,34,184,81,66,66,0,1604,343,13,Deportivo Táchira FC,1,3,2,2,2,61,66,52,60,27,77,29,69,65,63,68,61,35,37,57,63,55,66,52,61,59,70,85,67,82,55,73,33,66,58,64,56,20,22,13,13,9,14,9,11,66,59,63,63,63,59,63,61,60,61,46,50,46,43,47,43,18,0
Reece Brown,26,175,78,66,68,2,1893,401,10,Forest Green Rovers,1,4,3,0,2,80,62,65,69,59,66,60,62,50,66,53,67,63,62,65,66,82,78,84,64,82,65,74,80,62,63,58,64,64,67,59,69,58,60,56,16,10,13,13,7,66,67,66,66,66,67,68,68,68,68,68,66,68,66,62,66,19,0
Yang Liu,27,184,75,66,67,1,1729,385,5,Shandong Taishan,1,3,2,2,2,80,53,57,65,62,68,57,53,66,62,41,65,43,42,53,64,81,79,74,56,58,64,80,73,69,47,56,65,58,56,40,60,58,63,58,8,7,14,7,12,63,62,62,62,62,62,63,65,62,65,66,63,66,66,65,66,16,0
Anders K. Jacobsen,32,182,76,66,66,0,1618,343,13,AC Horsens,1,3,3,0,0,69,66,51,65,29,63,31,66,59,58,64,64,53,50,49,64,71,68,65,68,72,70,78,72,70,63,30,33,68,58,67,65,29,20,22,7,7,7,9,6,66,62,65,65,65,62,65,63,60,63,49,48,49,47,44,47,16,0
Tunay Torun,32,176,72,66,66,0,1737,363,10,Kasimpaşa SK,1,4,3,2,2,67,62,66,70,43,55,69,57,56,65,58,71,66,73,64,68,68,67,73,60,75,70,72,53,61,66,39,44,62,63,56,62,42,42,30,7,14,6,6,14,65,66,65,65,65,66,66,66,64,66,57,55,57,54,51,54,18,0
Diogo Lucas Queirós,23,185,80,66,72,6,1471,316,1,Futebol Clube de Famalicão,1,3,2,2,0,52,36,42,50,66,70,24,38,69,57,20,39,29,20,58,60,54,51,54,62,63,55,79,64,75,16,65,65,21,30,52,56,65,68,65,10,15,7,6,15,50,43,45,45,45,43,47,48,52,48,58,64,58,61,68,61,19,0
Adrian Gryszkiewicz,22,185,83,66,73,7,1648,361,1,SC Paderborn 07,1,3,2,2,2,70,33,56,60,65,77,57,28,62,64,30,58,49,30,60,61,72,69,66,60,67,35,80,79,81,38,64,64,44,44,37,59,65,66,64,6,13,8,13,14,53,55,52,52,52,55,56,60,60,60,67,66,67,67,68,67,19,0
Fahad Al Muwallad,27,167,68,66,66,0,1789,384,6,Al Shabab,1,3,3,0,2,88,63,60,65,44,64,64,55,55,60,67,67,56,48,52,61,86,90,77,62,61,78,80,63,62,63,66,45,64,64,70,56,59,30,28,12,13,13,7,11,66,66,65,65,65,66,66,66,60,66,58,55,58,56,53,56,18,0
Francesco Antonucci,23,172,66,66,74,8,1664,355,10,FC Volendam,1,4,3,2,2,72,60,65,71,31,56,62,64,41,68,54,69,66,51,64,74,74,70,76,56,80,63,52,64,54,52,52,27,59,66,56,58,24,35,40,11,13,12,7,8,64,66,65,65,65,66,68,69,64,69,55,53,55,52,44,52,17,0
Jamie McGrath,25,175,71,66,71,5,1846,392,0,Dundee United,1,4,3,0,2,75,63,63,70,57,64,60,62,51,66,52,68,56,53,65,67,80,71,86,64,75,65,64,80,65,62,39,58,64,64,74,66,57,60,56,14,15,9,14,10,66,67,66,66,66,67,69,69,68,69,66,64,66,65,60,65,21,0
Tesho Akindele,30,185,77,66,66,0,1661,365,13,Orlando City Soccer Club,1,2,3,0,2,81,63,52,65,33,71,45,61,68,60,57,64,44,36,44,65,79,83,73,62,63,70,70,63,78,61,62,25,65,59,66,65,39,25,20,10,11,14,12,7,66,64,65,65,65,64,65,64,58,64,50,49,50,49,48,49,18,0
Il-Lok Yun,30,178,65,66,66,0,1735,373,6,Ulsan Hyundai FC,1,3,3,0,2,76,59,61,67,46,64,57,59,56,62,58,68,62,56,59,63,80,72,78,62,72,61,69,62,66,58,58,58,67,66,51,55,45,44,23,6,11,6,8,12,65,65,65,65,65,65,66,66,64,66,58,58,58,56,54,56,17,0
Gary Madine,31,192,75,66,66,0,1633,339,13,Blackpool,1,3,2,2,1,47,67,53,61,32,79,42,65,74,62,68,59,42,40,39,66,43,51,53,66,51,71,82,64,87,63,79,33,69,63,74,65,31,23,19,11,7,12,14,10,66,59,63,63,63,59,63,60,59,60,47,51,47,45,51,45,19,0
Kevin Mensah,31,171,74,66,66,0,1842,392,5,Brøndby IF,1,4,3,0,0,77,58,59,68,58,72,65,55,48,62,55,65,60,56,55,66,73,80,84,62,83,62,77,76,72,59,64,55,64,49,58,59,57,62,61,10,13,13,12,9,64,64,63,63,63,64,64,66,63,66,66,63,66,66,63,66,19,0
Richard Stearman,34,191,73,66,66,0,1385,287,1,Derby County,1,2,2,2,2,33,34,46,44,67,63,32,30,68,63,30,33,32,33,48,55,32,34,47,64,47,50,72,34,73,28,70,66,28,34,32,50,68,66,64,9,10,11,16,6,47,40,42,42,42,40,46,44,51,44,55,62,55,57,66,57,18,0
Ahmed Al Zain,30,182,65,66,66,0,1703,374,7,Damac FC,1,4,3,0,2,82,60,59,69,42,62,59,60,55,63,60,73,63,44,58,66,78,86,77,53,62,63,53,73,59,59,57,45,60,55,46,59,29,47,44,13,13,7,9,14,65,66,64,64,64,66,66,66,62,66,59,55,59,58,51,58,18,0
Lukas Daschner,23,182,76,66,73,7,1708,374,0,FC St. Pauli,1,4,3,0,1,72,61,62,68,48,63,53,65,55,68,54,67,51,38,61,67,73,72,75,60,78,61,74,70,62,61,52,55,56,68,40,58,53,40,34,6,14,7,11,7,65,65,65,65,65,65,68,67,65,67,59,59,59,58,55,58,17,0
Valentin Costache,23,176,72,66,71,5,1670,361,10,Rapid București,1,3,3,0,1,82,61,61,64,28,65,64,60,54,65,49,61,58,42,54,61,81,83,82,62,71,68,75,76,59,60,65,25,63,61,50,62,30,22,23,8,10,9,10,9,65,65,64,64,64,65,66,67,60,67,54,50,54,51,44,51,17,0
Ali Al Hassan,25,182,65,66,71,5,1718,374,2,Al Nassr,1,3,2,2,2,67,51,60,64,61,71,46,55,54,71,39,63,50,37,65,65,66,67,63,62,65,51,69,75,67,47,74,66,60,60,42,60,58,61,63,14,12,11,9,11,61,61,61,61,61,61,65,65,66,65,65,67,65,65,65,65,19,0
Felix Bastians,34,188,84,66,66,0,1796,368,1,Rot-Weiß Essen,1,3,3,2,0,58,55,60,56,68,71,58,45,66,62,65,53,67,60,61,54,57,59,61,64,64,70,60,64,77,58,67,69,58,58,65,70,71,67,65,6,8,14,11,12,61,56,57,57,57,56,59,59,62,59,65,66,65,66,66,66,18,0
Faride Alidou,20,186,84,66,77,11,1557,355,10,Eintracht Frankfurt,1,3,4,2,2,84,59,58,69,28,57,61,61,37,61,50,74,55,42,54,69,88,81,67,52,67,63,50,56,62,53,49,25,60,56,50,53,28,28,22,8,7,7,9,5,63,66,64,64,64,66,66,67,59,67,52,47,52,48,41,48,14,1
Lars-Jørgen Salvesen,26,186,82,66,69,3,1699,360,13,FK Bodø/Glimt,1,3,2,0,0,68,65,52,60,38,77,48,66,67,56,55,58,60,50,44,61,67,68,56,65,68,72,85,76,80,60,69,34,67,55,56,60,42,30,25,12,14,8,16,9,68,61,63,63,63,61,62,62,58,62,52,52,52,51,52,51,20,0
Espen Ruud,38,182,76,66,66,0,1915,386,4,Odds BK,1,3,2,0,2,53,64,70,65,63,71,73,58,61,70,58,62,80,74,68,67,55,52,67,70,64,79,75,70,70,67,72,64,60,67,62,68,64,62,62,12,13,12,10,15,66,64,64,64,64,64,66,66,66,66,66,66,66,66,66,66,21,0
Liam Delap,19,186,80,66,84,18,1576,341,13,Stoke City,1,4,2,0,2,71,66,49,62,24,69,42,69,68,54,64,62,55,37,46,64,66,75,62,58,62,70,68,60,76,60,64,17,62,52,60,55,19,21,15,8,9,10,11,10,68,61,62,62,62,61,62,61,55,61,45,44,45,43,43,43,17,0
Kieran Lee,34,178,76,66,66,0,1812,368,4,Bolton Wanderers,1,2,3,2,2,50,59,66,66,63,64,66,62,59,68,60,65,63,53,67,67,52,49,65,66,73,57,76,72,61,54,59,65,64,66,59,67,62,65,62,12,12,8,11,12,63,63,63,63,63,63,66,66,66,66,66,66,66,65,65,65,20,0
Raheem Edwards,26,173,68,66,66,0,1822,395,5,LA Galaxy,1,3,3,0,0,77,54,61,71,61,71,60,54,60,63,49,73,64,39,58,67,78,76,78,63,75,58,75,73,70,51,72,55,62,63,49,64,59,65,63,7,14,10,10,9,65,66,64,64,64,66,66,66,65,66,66,65,66,66,66,66,18,0
Renato Pantalon,24,194,86,66,72,6,1391,302,1,Rio Ave FC,1,3,2,1,0,53,32,37,38,66,76,27,30,54,46,28,26,27,32,48,50,54,53,40,63,41,42,75,55,92,25,64,64,24,29,48,48,66,71,69,14,9,7,9,9,45,38,39,39,39,38,41,42,47,42,56,61,56,60,68,60,18,0
Arnau Comas Freixas,22,191,83,66,74,8,1510,331,1,FC Basel 1893,1,3,2,2,2,61,35,54,54,66,61,44,34,66,64,31,46,48,26,60,62,54,66,54,67,46,44,70,45,68,29,59,66,29,49,42,65,67,67,62,11,10,9,7,8,51,50,50,50,50,50,54,54,57,54,61,65,61,63,68,63,17,0
Naatan Skyttä,20,170,69,66,78,12,1622,342,0,Viking FK,1,2,3,2,2,65,53,64,70,43,47,50,58,44,71,46,72,60,52,68,71,61,69,66,57,80,56,50,54,46,38,40,26,64,68,55,60,45,47,58,7,14,6,14,9,61,64,64,64,64,64,68,67,65,67,57,56,57,55,49,55,18,0
Luis Enrique Hurtado,28,180,74,66,66,0,1810,383,6,Club Deportivo Guabirá,1,3,3,0,2,65,64,67,64,62,61,66,68,44,70,55,65,49,65,68,61,63,67,72,65,72,68,61,70,58,55,55,65,61,65,66,55,68,61,55,10,12,11,14,5,64,65,64,64,64,65,66,66,66,66,66,66,66,65,62,65,18,0
Niels Nkounkou,21,180,78,66,78,12,1681,373,5,Cardiff City,1,2,3,0,2,81,41,59,64,59,69,66,38,54,62,28,64,57,31,60,63,78,83,71,60,72,52,66,75,70,39,59,57,53,52,36,52,59,61,58,11,10,14,7,15,58,61,58,58,58,61,61,65,61,65,66,63,66,66,63,66,18,0
Sebastian S. Sebulonsen,22,181,78,66,72,6,1787,391,9,Brøndby IF,1,2,2,2,2,77,59,58,64,59,74,63,61,61,61,48,63,54,47,60,64,79,75,69,60,64,67,66,83,73,53,67,56,61,51,48,57,55,64,59,13,14,14,5,9,65,63,62,62,62,63,63,66,63,66,66,64,66,66,64,66,18,0
